1658,Vendido,5,QW-3,Totto,Bulto unisex,Bulto,18000.0
65,Vendido,1,DR-7,Adidas,Camisa casual para hombre,Camisa,7000.0
3432,Vendido,9,KU-5,Element,Tabla de patineta,Skateboard,15000.0
1845,Vendido,6,SQ-6,Vans,Tenis para skater,Tenis,7000.0
5841,Vendido,12,RT-6,Cliche,Tabla de patineta,Skateboard,24500.0
6856,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
1428,Vendido,4,LP-2,Shut,Tenis casuales para mujer,Tenis,5000.0
3248,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
21660,Vendido,19,OW-5,Spitfire,Incluye las cuatro ruedas necesarias,Ruedas para Skate,29500.0
6857,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
6656,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
1431,Vendido,4,LP-2,Shut,Tenis casuales para mujer,Tenis,5000.0
1441,Vendido,4,LP-2,Shut,Tenis casuales para mujer,Tenis,5000.0
6858,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
6235,Vendido,14,NB-2,Primitive,Tabla de patineta,Skateboard,35000.0
21661,Vendido,19,OW-5,Spitfire,Incluye las cuatro ruedas necesarias,Ruedas para Skate,29500.0
6056,Vendido,13,JA-1,Almost,Tabla de patineta,Skateboard,31000.0
69,Vendido,1,DR-7,Adidas,Camisa casual para hombre,Camisa,7000.0
5844,Vendido,12,RT-6,Cliche,Tabla de patineta,Skateboard,24500.0
2071,Vendido,7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0
443,Vendido,3,FR-8,Lacoste,Blusa polo para mujer,Blusa,15000.0
1442,Vendido,4,LP-2,Shut,Tenis casuales para mujer,Tenis,5000.0
6060,Vendido,13,JA-1,Almost,Tabla de patineta,Skateboard,31000.0
6657,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
21876,Vendido,20,BQ-4,Jigsaw,Máximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0
5854,Vendido,12,RT-6,Cliche,Tabla de patineta,Skateboard,24500.0
6859,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
21662,Vendido,19,OW-5,Spitfire,Incluye las cuatro ruedas necesarias,Ruedas para Skate,29500.0
3252,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
6450,Vendido,15,XZ-9,Darkstar,Tabla de patineta,Skateboard,37000.0
5473,Vendido,10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0
445,Vendido,3,FR-8,Lacoste,Blusa polo para mujer,Blusa,15000.0
6452,Vendido,15,XZ-9,Darkstar,Tabla de patineta,Skateboard,37000.0
6068,Vendido,13,JA-1,Almost,Tabla de patineta,Skateboard,31000.0
448,Vendido,3,FR-8,Lacoste,Blusa polo para mujer,Blusa,15000.0
1847,Vendido,6,SQ-6,Vans,Tenis para skater,Tenis,7000.0
6240,Vendido,14,NB-2,Primitive,Tabla de patineta,Skateboard,35000.0
259,Vendido,2,JY-2,Nike,Pantalon de playa para hombre,Pantalon,12000.0
449,Vendido,3,FR-8,Lacoste,Blusa polo para mujer,Blusa,15000.0
21879,Vendido,20,BQ-4,Jigsaw,Máximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0
6459,Vendido,15,XZ-9,Darkstar,Tabla de patineta,Skateboard,37000.0
21881,Vendido,20,BQ-4,Jigsaw,Máximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0
6070,Vendido,13,JA-1,Almost,Tabla de patineta,Skateboard,31000.0
1448,Vendido,4,LP-2,Shut,Tenis casuales para mujer,Tenis,5000.0
1849,Vendido,6,SQ-6,Vans,Tenis para skater,Tenis,7000.0
6072,Vendido,13,JA-1,Almost,Tabla de patineta,Skateboard,31000.0
3253,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
5474,Vendido,10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0
6076,Vendido,13,JA-1,Almost,Tabla de patineta,Skateboard,31000.0
21883,Vendido,20,BQ-4,Jigsaw,Máximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0
3257,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
6243,Vendido,14,NB-2,Primitive,Tabla de patineta,Skateboard,35000.0
3259,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
3265,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
262,Vendido,2,JY-2,Nike,Pantalon de playa para hombre,Pantalon,12000.0
271,Vendido,2,JY-2,Nike,Pantalon de playa para hombre,Pantalon,12000.0
278,Vendido,2,JY-2,Nike,Pantalon de playa para hombre,Pantalon,12000.0
282,Vendido,2,JY-2,Nike,Pantalon de playa para hombre,Pantalon,12000.0
286,Vendido,2,JY-2,Nike,Pantalon de playa para hombre,Pantalon,12000.0
6246,Vendido,14,NB-2,Primitive,Tabla de patineta,Skateboard,35000.0
